date,spd
2022-09-04 13:33:02.385000+00:00,0.245
2022-09-04 13:33:02.489000+00:00,0.19
2022-09-04 13:33:02.593000+00:00,0.33
2022-09-04 13:33:02.697000+00:00,0.385
2022-09-04 13:33:02.801000+00:00,0.4
2022-09-04 13:33:02.906000+00:00,0.485
2022-09-04 13:33:03.010000+00:00,0.52
2022-09-04 13:33:03.114000+00:00,0.79
2022-09-04 13:33:03.218000+00:00,0.775
2022-09-04 13:33:03.296000+00:00,0.65
2022-09-04 13:33:03.376000+00:00,0.73
2022-09-04 13:33:03.486000+00:00,0.585
2022-09-04 13:33:03.596000+00:00,0.575
2022-09-04 13:33:03.706000+00:00,0.555
2022-09-04 13:33:03.789000+00:00,0.51
2022-09-04 13:33:03.871000+00:00,0.535
2022-09-04 13:33:03.981000+00:00,0.57
2022-09-04 13:33:04.091000+00:00,0.58
2022-09-04 13:33:04.201000+00:00,0.55
2022-09-04 13:33:04.284000+00:00,0.57
2022-09-04 13:33:04.366000+00:00,0.635
2022-09-04 13:33:04.476000+00:00,0.66
2022-09-04 13:33:04.586000+00:00,0.72
2022-09-04 13:33:04.696000+00:00,0.655
2022-09-04 13:33:04.779000+00:00,0.47
2022-09-04 13:33:04.861000+00:00,0.575
2022-09-04 13:33:04.971000+00:00,0.67
2022-09-04 13:33:05.081000+00:00,0.67
2022-09-04 13:33:05.191000+00:00,0.73
2022-09-04 13:33:05.274000+00:00,0.67
2022-09-04 13:33:05.358000+00:00,0.68
2022-09-04 13:33:05.474000+00:00,0.65
2022-09-04 13:33:05.590000+00:00,0.615
2022-09-04 13:33:05.706000+00:00,0.6
2022-09-04 13:33:05.793000+00:00,0.74
2022-09-04 13:33:05.880000+00:00,0.645
2022-09-04 13:33:05.996000+00:00,0.68
2022-09-04 13:33:06.112000+00:00,0.815
2022-09-04 13:33:06.228000+00:00,0.745
2022-09-04 13:33:06.315000+00:00,0.6
2022-09-04 13:33:06.399000+00:00,0.525
2022-09-04 13:33:06.503000+00:00,0.5
2022-09-04 13:33:06.607000+00:00,0.56
2022-09-04 13:33:06.711000+00:00,0.44
2022-09-04 13:33:06.789000+00:00,0.32
2022-09-04 13:33:06.867000+00:00,0.25
2022-09-04 13:33:06.971000+00:00,0.285
2022-09-04 13:33:07.075000+00:00,0.31
